,p1,p2,p3,p4
2006,"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']",['OAK-MOR-729.fq.barcodeStripped'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
2479,['OAK-MOR-1060'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-986'],['OAK-MOR-981']
2465,['OAK-MOR-727.fq.barcodeStripped'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']",['OAK-MOR-986'],['OAK-MOR-981']
1469,"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']","['OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
1717,"['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-736.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
1966,['OAK-MOR-1061'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
1986,"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']","['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
943,['OAK-MOR-1060'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-986'],['OAK-MOR-982']
978,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-1060'],['OAK-MOR-986'],['OAK-MOR-982']
1485,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-1061'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
2380,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-729.fq.barcodeStripped'],['OAK-MOR-986'],['OAK-MOR-981']
