,,Dstat,bootmean,bootstd,Z,ABxxA,BAxxA,nloci
0,p3,0.37375729481395675,0.3733461289441162,0.01978380883631437,18.892079776261426,768.3182870370373,350.24652777777743,43415
0,p4,-0.22527212910894776,-0.223851563994454,0.030560347908703114,7.371386274198591,246.89308449074053,390.474160879629,43415
0,shared,0.1959600901235069,0.19612054712288962,0.011816646231088846,16.583393146521416,2227.757118744491,1497.7135506228087,43415
1,p3,0.45286141761157833,0.4525413677479583,0.016871244826275653,26.842205318856013,996.4609209656082,375.2609912367724,43757
1,p4,-0.32996598055407084,-0.32873751008876206,0.03931819691894832,8.39219512619748,173.37102141203695,344.12813946759223,43757
1,shared,0.2647471269726778,0.2649440418416711,0.010659846738098819,24.835922455288078,2547.8113102416823,1481.1542527640215,43757
2,p3,0.21421407895379788,0.21381787523279852,0.029084502348240403,7.365231021969255,413.05852967923494,267.3133039847869,44318
2,p4,0.007026451880422736,0.005626705760032346,0.03583790105054413,0.1960620369622917,186.21976273148144,183.6210937499999,44318
2,shared,0.3210887290885412,0.320783105075564,0.010448792738811562,30.729744298197417,2829.4723618564503,1454.073927738449,44318
