"","test","individual","n","D","Z","p","prop. sign (0.01)","sign. level"
"41","aegilopsCrenata","Quercus ithaburense|collected on 21.10.2013|OAK-MOR-735","200","0.108 [0.051,0.162]","5.112 [2.004,8.147]","0.025 [0,0.27]","0.68",""
"42","aegilopsCrenata","Quercus ithaburensis|KOCHAL2|OAK-MOR-599","200","0.102 [-0.004,0.233]","4.164 [0.17,8.147]","0.288 [0,1]","0.515",""
"43","-","-","-","-","-","-","-","-"
"44","suberIlex","Quercus ilex|TUS13-004|OAK-MOR-589","2496","0.042 [-0.019,0.115]","1.429 [0.094,3.364]","0.989 [1,1]","0.001",""
"45","suberIlex","Quercus ilex ssp. rotundifolia|2001,066|OAK-MOR-980","3744","0.049 [-0.02,0.136]","1.571 [0.107,3.763]","0.98 [0.613,1]","0.001",""
"46","suberIlex","Quercus ilex|s.n.|OAK-MOR-1146","3744","0.047 [-0.013,0.117]","1.585 [0.131,3.517]","0.987 [1,1]","0.001",""
"47","-","-","-","-","-","-","-","-"
"48","cerrisAfares_libani","Quercus cerris|TUS13-002|OAK-MOR-591","18","0.352 [0.304,0.39]","20.277 [6.707,24.609]","0 [0,0]","1","***"
"49","cerrisAfares_libani","Quercus cerris|Coll #412|OAK-MOR-736","18","0.313 [0.263,0.36]","17.298 [6.214,22.042]","0 [0,0]","1","***"
"50","cerrisAfares_libani","Quercus cerris|4-2|OAK-MOR-1061","27","0.159 [0.116,0.192]","8.155 [3.162,10.465]","0 [0,0.003]","1","**"
"51","cerrisAfares_libani","Quercus cerris|4-1|OAK-MOR-1060","27","0.165 [0.121,0.2]","8.326 [3.217,10.465]","0 [0,0.003]","1","**"
"52","cerrisAfares_libani","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","27","0.148 [0.098,0.189]","7.655 [2.813,10.465]","0.001 [0,0.011]","0.963","*"
"53","cerrisAfares_libani","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","27","0.152 [0.098,0.211]","7.877 [3.296,10.465]","0 [0,0.002]","1","**"
"54","-","-","-","-","-","-","-","-"
"55","cerrisAfares_trojana","Quercus cerris|TUS13-002|OAK-MOR-591","18","0.217 [0.128,0.277]","11.165 [1.724,14.893]","0.013 [0,0.118]","0.889",""
"56","cerrisAfares_trojana","Quercus cerris|Coll #412|OAK-MOR-736","18","0.18 [0.121,0.228]","9.181 [1.759,13.355]","0.011 [0,0.104]","0.889",""
"57","cerrisAfares_trojana","Quercus cerris|4-2|OAK-MOR-1061","27","0.062 [-0.004,0.092]","3.118 [0.26,4.376]","0.143 [0,1]","0.519",""
"58","cerrisAfares_trojana","Quercus cerris|4-1|OAK-MOR-1060","27","0.067 [0.025,0.108]","3.163 [0.377,4.804]","0.144 [0,1]","0.481",""
"59","cerrisAfares_trojana","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","27","0.059 [0.033,0.091]","2.74 [1.179,4.146]","0.169 [0.001,0.488]","0.333",""
"60","cerrisAfares_trojana","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","27","0.058 [0.033,0.108]","2.614 [1.208,3.991]","0.209 [0.002,0.447]","0.185",""
"61","-","-","-","-","-","-","-","-"
"62","cerrisTrojana","Quercus cerris|TUS13-002|OAK-MOR-591","18","0.122 [0.063,0.19]","5.875 [2.551,7.804]","0.003 [0,0.016]","0.833","*"
"63","cerrisTrojana","Quercus cerris|Coll #412|OAK-MOR-736","18","0.131 [0.08,0.2]","6.416 [2.719,8.137]","0.001 [0,0.011]","0.889","*"
"64","cerrisTrojana","Quercus cerris|4-2|OAK-MOR-1061","27","0.081 [0.018,0.189]","3.86 [1.073,5.833]","0.07 [0,0.491]","0.593",""
"65","cerrisTrojana","Quercus cerris|4-1|OAK-MOR-1060","27","0.086 [0.019,0.194]","4.017 [1.125,5.833]","0.098 [0,0.61]","0.667",""
"66","cerrisTrojana","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","27","0.071 [0.015,0.134]","3.684 [0.85,5.833]","0.149 [0,0.747]","0.63",""
"67","cerrisTrojana","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","27","0.071 [0.019,0.113]","3.779 [0.939,5.833]","0.167 [0,0.847]","0.667",""
"68","-","-","-","-","-","-","-","-"
