,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
60,0.42042475526795975,0.4207511056422214,0.012214528819398218,34.42005512322931,2229.401041666668,909.6614583333335,36178
22,0.3952920972832482,0.39549185212146604,0.01197047125089954,33.02226695991967,2348.5963541666665,1017.8619791666663,38466
200,0.4138808951484577,0.41363406686322457,0.012548989563641758,32.9812127940242,2175.09375,901.6770833333322,35466
20,0.39756761004144214,0.39734337428193484,0.012090666638690897,32.88219102569586,2400.806423611105,1034.8862847222213,38668
160,0.39144802553235053,0.39123666703160037,0.01212565055246657,32.282641153032664,2339.9843749999986,1023.3958333333328,37845
270,0.4119097192099711,0.4117302370859688,0.012969056172433085,31.760963460511714,2034.3854166666645,847.3645833333325,33956
62,0.4209327892119654,0.421135519819415,0.013341500831737364,31.550632460377436,2174.3749999999995,886.114583333334,36017
230,0.39050779953534787,0.39061502418854394,0.012456793930446878,31.348981264020853,2182.083333333329,956.4583333333311,36137
64,0.4275334745306383,0.4273024707546605,0.013845976927420364,30.877812145126246,2071.187500000001,830.5833333333343,34864
232,0.388013066325806,0.38845455279190677,0.012598053009614047,30.79944702802081,2137.84375,942.59375,35984
63,0.4160705806669012,0.4155639263535473,0.013681116696427898,30.41203360070279,1926.0624999999993,794.2291666666669,34626
24,0.40284319854926814,0.40271855881050045,0.013270751232786955,30.355719241725858,2232.1354166666674,950.1666666666662,37158
203,0.41301002564700395,0.41300356955948014,0.013611810935514352,30.34203366500091,1893.875,786.75,34007
272,0.4121749172718591,0.41230892763821797,0.013647885708187537,30.20064250864808,1987.0625,827.125,33828
164,0.4014405762304922,0.4019498105475664,0.013351305899395557,30.067513938742596,2188.875,934.875,36426
163,0.3872804734230741,0.3876378534040275,0.012923765845623875,29.966534371574937,2040.234375,901.109375,36166
202,0.41501786849206596,0.41506499767783356,0.013899897605737822,29.857620556913183,2122.0625,877.28125,35318
92,0.3965969975067636,0.3968006901902529,0.01332553620178646,29.762179285032797,1645.453125,710.921875,28389
162,0.38969957488353135,0.3892851370985382,0.013095957561849645,29.757241732271698,2290.84375,1006.046875,37658
23,0.390247903882268,0.3900633270199132,0.013285625201091219,29.373695100943753,2074.3802083333335,909.8072916666658,36874
90,0.3961560765470982,0.3962737147466522,0.01353332408725529,29.272636492919688,1667.744791666668,721.3072916666674,28523
204,0.425284837861525,0.42557829911158634,0.01456140080640762,29.2063135625236,2032.8125,819.6875,34223
273,0.413856105871315,0.41419362295681567,0.014191727586278848,29.161784804229775,1789.5,741.875,32712
300,0.395358752079451,0.3960289203836572,0.013690463264456332,28.878405678637293,1738.7187500000061,753.4270833333351,29098
234,0.3997566754178139,0.39984029647364744,0.013888502712049966,28.783280941506842,2049.375,878.8125,34869
342,0.41488387580121533,0.4148865764898952,0.01443530612357298,28.740912887445205,1593.46875,658.96875,27433
233,0.3876499694977293,0.3877806259216193,0.013497903265407923,28.719273051184814,1919.25,846.9375,34717
274,0.4227906976744186,0.4225469145612495,0.014749247320840531,28.665238874733614,1911.875,775.625,32828
130,0.41277782488670367,0.41264195128358583,0.014413356667105056,28.638563134205068,1561.9583333333337,649.2291666666662,26992
340,0.4135896322038821,0.412984468494931,0.014668912959320254,28.19497486629354,1627.041666666669,674.9583333333337,27540
21,0.4253073606121444,0.42475768808813097,0.01521919809826477,27.94545138752325,1527.031250000001,615.7083333333334,25992
132,0.41583759848179885,0.41625602832125497,0.01500940886832972,27.705128305167833,1538.75,634.875,26889
344,0.42656699252443936,0.4269051084206601,0.015461252271490365,27.589420639038643,1550.5,623.25,26805
161,0.4239248390789219,0.42353614792222566,0.015461852037218057,27.417468363977164,1496.65625,605.5,25516
302,0.3933405626076418,0.39333885800573426,0.014543387922911858,27.046006383971065,1706.515625,743.015625,28958
0,0.31778725469845615,0.31819268996609273,0.01175528653340073,27.03356092558999,2365.998553240745,1224.8671875000045,41190
271,0.4441693985415133,0.44418067791450033,0.016529081549745032,26.871995107820425,1349.125,519.25,23322
304,0.4035430472318293,0.4031798671605528,0.01502293078268129,26.86180566691029,1661.3125,706.0,28252
140,0.31631389392667775,0.3164061867452782,0.011911190059497138,26.55602776436864,2292.3806423611136,1190.6497395833408,40227
201,0.44079280648429586,0.4407914969791443,0.016716383123399958,26.368910261889397,1422.0625,551.9375,24234
61,0.4433673098303256,0.4439029351736892,0.0168436261615175,26.32255700635789,1447.0208333333328,558.0416666666665,24650
133,0.41815856777493604,0.4183754356879591,0.01589229044852369,26.312039106595915,1386.25,568.75,26085
231,0.42785567984874745,0.42828738044587966,0.01629376449024394,26.258859952525423,1416.03125,567.40625,24491
93,0.39835905334557625,0.3991753655725148,0.015355749710859885,25.94201265626575,1475.3125,634.75,27477
94,0.39533278099972385,0.396292973542034,0.015278856726787167,25.874500171640413,1578.90625,684.21875,27673
2,0.3158860107599072,0.31600052292927533,0.01227804305898292,25.727716480746267,2309.491319444445,1200.6779513888885,40955
343,0.4057606092243444,0.4060512493786119,0.015885142616220215,25.54340360847783,1430.625,604.75,26579
3,0.31340062078729447,0.31343072092966867,0.012328164307664546,25.421515561116436,2034.1588541666565,1063.3862847222226,39099
134,0.4168868604371847,0.4166615378747915,0.0164044092968238,25.413097960065027,1474.625,606.875,26257
142,0.315228297511762,0.3148916000828593,0.012455165864987674,25.309040516103472,2239.299479166662,1165.888020833333,40015
303,0.3833927258329091,0.3839734814415603,0.015227311401341526,25.177965809455518,1528.5625,681.3125,27989
50,0.37216151990989976,0.3718155657268241,0.014936948362007995,24.915498861634248,1615.9965277777778,739.4062500000003,29711
