,,Dstat,bootmean,bootstd,Z,ABxxA,BAxxA,nloci
0,p3,0.37375729481395675,0.3736639720972035,0.02014691300832326,18.551591236808687,768.3182870370373,350.24652777777743,43415
0,p4,-0.22527212910894776,-0.2242624480388274,0.031126739601273518,7.237254270592831,246.89308449074053,390.474160879629,43415
0,shared,0.1959600901235069,0.1957814436174329,0.012045966845177513,16.267692966626225,2227.757118744491,1497.7135506228087,43415
1,p3,0.45286141761157833,0.45339446539838446,0.018110238499028757,25.005822956769183,996.4609209656082,375.2609912367724,43757
1,p4,-0.32996598055407084,-0.33135788975281255,0.037984313692767495,8.68690120935103,173.37102141203695,344.12813946759223,43757
1,shared,0.2647471269726778,0.2646920481030546,0.01114436952959628,23.756133199781708,2547.8113102416823,1481.1542527640215,43757
2,p3,0.21421407895379788,0.2131502360801569,0.02920586189179798,7.334626170164717,413.05852967923494,267.3133039847869,44318
2,p4,0.007026451880422736,0.007539794531861704,0.03516199942420324,0.19983083998306939,186.21976273148144,183.6210937499999,44318
2,shared,0.3210887290885412,0.3208716158473537,0.010747157560957954,29.876618749406404,2829.4723618564503,1454.073927738449,44318
