,p1,p2,p3,p4
175,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
174,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
63,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
230,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
229,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
173,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
61,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
62,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
231,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
116,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
59,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
4,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
57,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
225,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
227,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
184,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
172,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
28,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
16,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
128,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
84,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
31,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
228,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
60,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
30,"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
140,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
29,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
142,"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
86,"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
143,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
72,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-982']
252,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-981']
196,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
35,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
34,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
33,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
141,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
146,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
87,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
147,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
198,"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
197,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
254,"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-981']
85,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
253,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-981']
32,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
89,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
199,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
181,"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
145,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
203,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
255,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-981']
202,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
144,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
91,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-982']
201,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-986'],['OAK-MOR-578.fq.barcodeStripped']
240,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-981']
