"","test","tip","individual","n","D","Z","p","prop. sign (0.01)","sign. level"
"1","cerrisAfares","p3","Quercus cerris|TUS13-002|OAK-MOR-591","54","0.296 [0.188,0.39]","16.178 [3.337,23.395]","0.002 [0,0.036]","0.963","*"
"2","cerrisAfares","p3","Quercus cerris|Coll #412|OAK-MOR-736","54","0.25 [0.148,0.347]","13.462 [2.863,21.3]","0.004 [0,0.074]","0.963","*"
"3","cerrisAfares","p3","Quercus cerris|4-2|OAK-MOR-1061","81","0.109 [0.025,0.185]","5.41 [0.914,9.548]","0.092 [0,1]","0.617",""
"4","cerrisAfares","p3","Quercus cerris|4-1|OAK-MOR-1060","81","0.114 [0.025,0.193]","5.595 [0.914,9.548]","0.089 [0,1]","0.654",""
"5","cerrisAfares","p3","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","81","0.102 [0.026,0.175]","5.045 [1.273,9.348]","0.175 [0,1]","0.593",""
"6","cerrisAfares","p3","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","81","0.101 [0.025,0.184]","5 [1.112,9.434]","0.211 [0,1]","0.593",""
"7","-","-","-","-","-","-","-","-","-"
"8","cerrisCrenata","p3","Quercus cerris|Coll #412|OAK-MOR-736","100","0.46 [0.403,0.516]","29.863 [18.575,45.162]","0 [0,0]","1","***"
"9","cerrisCrenata","p3","Quercus cerris|TUS13-002|OAK-MOR-591","100","0.482 [0.411,0.559]","32.239 [20.15,45.644]","0 [0,0]","1","***"
"10","cerrisCrenata","p3","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","150","0.343 [0.288,0.397]","19.439 [12.907,26.642]","0 [0,0]","1","***"
"11","cerrisCrenata","p3","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","150","0.341 [0.287,0.402]","19.308 [12.475,26.906]","0 [0,0]","1","***"
"12","cerrisCrenata","p3","Quercus cerris|4-1|OAK-MOR-1060","150","0.342 [0.295,0.391]","18.318 [11.764,26.414]","0 [0,0]","1","***"
"13","cerrisCrenata","p3","Quercus cerris|4-2|OAK-MOR-1061","150","0.343 [0.295,0.384]","18.701 [12.086,26.414]","0 [0,0]","1","***"
"14","-","-","-","-","-","-","-","-","-"
"15","crenata_v_crenata","p3","Quercus brantii|s.n|OAK-MOR-659","20","0.052 [0.031,0.085]","2.687 [1.498,5.112]","0.195 [0,0.382]","0.2",""
"16","crenata_v_crenata","p3","Quercus macrolepis|s.n|OAK-MOR-662","20","0.053 [0.031,0.085]","2.689 [1.451,5.112]","0.207 [0,0.414]","0.2",""
"17","crenata_v_crenata","p3","Quercus ithaburensis|1-2|OAK-MOR-1055","20","0.043 [0.017,0.083]","2.241 [0.7,5.112]","0.568 [0,1]","0.2",""
"18","crenata_v_crenata","p3","Quercus ithaburense|collected on 21.10.2013|OAK-MOR-735","25","0.048 [0.022,0.08]","2.392 [1.015,4.989]","0.418 [0,0.888]","0.16",""
"19","crenata_v_crenata","p3","Quercus ithaburensis|KOCHAL2|OAK-MOR-599","25","0.054 [0.022,0.098]","2.168 [0.572,4.989]","0.571 [0,1]","0.16",""
"20","crenata_v_crenata","p3","Quercus libani|IL-SH-176|OAK-MOR-191","25","0.084 [0.058,0.106]","4.874 [3.547,6.089]","0 [0,0.001]","1","**"
"21","crenata_v_crenata","p3","Quercus afares|1977,224|OAK-MOR-983","25","0.088 [0.058,0.12]","4.982 [3.547,6.089]","0 [0,0.001]","1","**"
"22","crenata_v_crenata","p3","Quercus libani|s.n.|OAK-MOR-628","25","0.076 [0.055,0.102]","4.244 [2.732,5.765]","0.002 [0,0.01]","1","*"
"23","crenata_v_crenata","p3","Quercus trojana|IL-MOR-MH206|OAKS-MOR-585","25","0.068 [0.037,0.097]","3.862 [1.733,5.765]","0.021 [0,0.137]","0.72",""
"24","crenata_v_crenata","p3","Quercus look|sample 2 (s.n)|OAK-MOR-727","25","0.07 [0.048,0.099]","4.092 [2.695,5.974]","0.003 [0,0.012]","0.96","*"
"25","crenata_v_crenata","p3","Quercus cerris|4-2|OAK-MOR-1061","35","0.066 [0.047,0.097]","3.787 [2.371,5.91]","0.016 [0,0.052]","0.571",""
"26","crenata_v_crenata","p3","Quercus cerris|4-1|OAK-MOR-1060","35","0.067 [0.047,0.097]","3.857 [2.371,5.91]","0.009 [0,0.039]","0.686","*"
"27","crenata_v_crenata","p3","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","35","0.07 [0.047,0.101]","4.047 [2.371,5.91]","0.005 [0,0.033]","0.886","*"
"28","crenata_v_crenata","p3","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","35","0.068 [0.047,0.097]","3.921 [2.371,5.91]","0.008 [0,0.045]","0.686","*"
"29","crenata_v_crenata","p3","Quercus castaneifolia|1977,448|OAK-MOR-1040","25","0.091 [0.058,0.136]","5.242 [3.385,8.412]","0 [0,0.001]","1","**"
"30","crenata_v_crenata","p3","Quercus cerris|TUS13-002|OAK-MOR-591","30","0.099 [0.059,0.145]","6.103 [3.611,8.587]","0 [0,0.001]","1","**"
"31","crenata_v_crenata","p3","Quercus cerris|Coll #412|OAK-MOR-736","30","0.094 [0.059,0.14]","5.779 [3.611,8.396]","0 [0,0.001]","1","**"
"32","-","-","-","-","-","-","-","-","-"
"33","libaniCrenata","p3","Quercus libani|IL-SH-176|OAK-MOR-191","150","0.356 [0.257,0.43]","21.465 [12.327,32.448]","0 [0,0]","1","***"
"34","libaniCrenata","p3","Quercus afares|1977,224|OAK-MOR-983","150","0.342 [0.257,0.412]","19.674 [12.036,30.951]","0 [0,0]","1","***"
"35","libaniCrenata","p3","Quercus libani|s.n.|OAK-MOR-628","150","0.257 [0.185,0.34]","14.213 [7.136,25.34]","0 [0,0]","1","***"
