"test","stat","Dstat","bootmean","bootstd","Z","ABxxA","BAxxA","nloci","pHolm"
0,"p3",0.373757294813957,0.373663972097203,0.0201469130083233,18.5515912368087,768.318287037037,350.246527777777,43415,7.91731181148622e-77
0,"p4",-0.225272129108948,-0.224262448038827,0.0311267396012735,7.23725427059283,246.893084490741,390.474160879629,43415,4.57859272370239e-13
0,"shared",0.195960090123507,0.195781443617433,0.0120459668451775,16.2676929666262,2227.75711874449,1497.71355062281,43415,1.67344954443784e-59
1,"p3",0.452861417611578,0.453394465398384,0.0181102384990288,25.0058229567692,996.460920965608,375.260991236772,43757,5.28387104267088e-138
1,"p4",-0.329965980554071,-0.331357889752813,0.0379843136927675,8.68690120935103,173.371021412037,344.128139467592,43757,3.72459758526162e-18
1,"shared",0.264747126972678,0.264692048103055,0.0111443695295963,23.7561331997817,2547.81131024168,1481.15425276402,43757,9.49540574028149e-125
2,"p3",0.214214078953798,0.213150236080157,0.029205861891798,7.33462617016472,413.058529679235,267.313303984787,44318,2.22341219662168e-13
2,"p4",0.00702645188042274,0.0075397945318617,0.0351619994242032,0.199830839983069,186.219762731481,183.62109375,44318,0.841612880936601
2,"shared",0.321088729088541,0.320871615847354,0.010747157560958,29.8766187494064,2829.47236185645,1454.07392773845,44318,3.96109121240003e-196
